TID: [] [2025-04-10 17:58:32,509] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["e**********************************b"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [] [2025-04-10 21:04:31,265] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : nickname | Data : { External Claim URI:nickname, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/nickname, Claim Properties: {Description:Casual name of the End-User that may or may not be the same as the given_name. For instance, a nickname value of Mike might be returned alongside a given_name value of Michael., DisplayOrder:6, Required:true, SupportedByDefault:true, MappedLocalClaim:http://wso2.org/claims/nickname, DisplayName:Nickname} } | Result : Success 
TID: [] [2025-04-10 21:04:31,328] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : profile | Data : { External Claim URI:profile, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/url, Claim Properties: {Description:URL of the End-User's profile page. The contents of this Web page SHOULD be about the End-User., DisplayOrder:8, SupportedByDefault:true, MappedLocalClaim:http://wso2.org/claims/url, DisplayName:Profile} } | Result : Success 
TID: [] [2025-04-10 21:04:31,397] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : phone_number_verified | Data : { External Claim URI:phone_number_verified, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/identity/phoneVerified, Claim Properties: {Description:True if the End-User's phone number has been verified; otherwise false., MappedLocalClaim:http://wso2.org/claims/identity/phoneVerified, DisplayName:Phone Number Verified} } | Result : Success 
TID: [] [2025-04-10 21:04:31,461] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : roles | Data : { External Claim URI:roles, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/roles, Claim Properties: {Description:List of role names that have been assigned to the principal. This typically will require a mapping at the application container level to application deployment roles., DisplayOrder:13, SupportedByDefault:true, MappedLocalClaim:http://wso2.org/claims/roles, DisplayName:User Roles} } | Result : Success 
TID: [] [2025-04-10 21:04:31,511] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : postal_code | Data : { External Claim URI:postal_code, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/postalcode, Claim Properties: {Description:Zip code or postal code component., MappedLocalClaim:http://wso2.org/claims/postalcode, DisplayName:Postal Code} } | Result : Success 
TID: [] [2025-04-10 21:04:31,560] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : groups | Data : { External Claim URI:groups, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/groups, Claim Properties: {Description:List of group names that have been assigned to the principal. This typically will require a mapping at the application container level to application deployment roles., DisplayOrder:12, SupportedByDefault:true, MappedLocalClaim:http://wso2.org/claims/groups, DisplayName:User Groups} } | Result : Success 
TID: [] [2025-04-10 21:04:31,598] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : address | Data : { External Claim URI:address, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/addresses, Claim Properties: {Description:True if the End-User's phone number has been verified; otherwise false. , MappedLocalClaim:http://wso2.org/claims/addresses, DisplayName:Address} } | Result : Success 
TID: [] [2025-04-10 21:04:31,635] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : country | Data : { External Claim URI:country, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/country, Claim Properties: {Description:Country name component, MappedLocalClaim:http://wso2.org/claims/country, DisplayName:Country} } | Result : Success 
TID: [] [2025-04-10 21:04:31,671] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : email | Data : { External Claim URI:email, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/emailaddress, Claim Properties: {Description:End-User's preferred e-mail address., MappedLocalClaim:http://wso2.org/claims/emailaddress, DisplayName:Email} } | Result : Success 
TID: [] [2025-04-10 21:04:31,710] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : given_name | Data : { External Claim URI:given_name, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/givenname, Claim Properties: {Description:Given name(s) or first name(s) of the End-User. Note that in some cultures, people can have multiple given names; all can be present, with the names being separated by space characters., DisplayOrder:3, SupportedByDefault:true, MappedLocalClaim:http://wso2.org/claims/givenname, DisplayName:Given Name} } | Result : Success 
TID: [] [2025-04-10 21:04:31,756] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : locality | Data : { External Claim URI:locality, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/locality, Claim Properties: {Description:City or locality component., MappedLocalClaim:http://wso2.org/claims/locality, DisplayName:Locality} } | Result : Success 
TID: [] [2025-04-10 21:04:31,815] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : region | Data : { External Claim URI:region, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/region, Claim Properties: {Description:State, province, prefecture, or region component., MappedLocalClaim:http://wso2.org/claims/region, DisplayName:One Time Password} } | Result : Success 
TID: [] [2025-04-10 21:04:31,887] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : family_name | Data : { External Claim URI:family_name, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/lastname, Claim Properties: {Description:Surname(s) or last name(s) of the End-User. Note that in some cultures, people can have multiple family names or no family name; all can be present, with the names being separated by space characters., DisplayOrder:4, SupportedByDefault:true, MappedLocalClaim:http://wso2.org/claims/lastname, DisplayName:Surname} } | Result : Success 
TID: [] [2025-04-10 21:04:32,157] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : name | Data : { External Claim URI:name, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/fullname, Claim Properties: {Description:End-User's full name in displayable form including all name parts, possibly including titles and suffixes, ordered according to the End-User's locale and preferences, DisplayOrder:2, Required:true, SupportedByDefault:true, MappedLocalClaim:http://wso2.org/claims/fullname, DisplayName:Full Name} } | Result : Success 
TID: [] [2025-04-10 21:04:32,232] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : locale | Data : { External Claim URI:locale, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/local, Claim Properties: {Description:End-User's locale, For example, en-US or fr-CA, en_US, MappedLocalClaim:http://wso2.org/claims/local, DisplayName:Locale} } | Result : Success 
TID: [] [2025-04-10 21:04:32,310] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : street_address | Data : { External Claim URI:street_address, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/streetaddress, Claim Properties: {Description:Full street address component, which MAY include house number, street name, Post Office Box, and multi-line extended street address information., MappedLocalClaim:http://wso2.org/claims/streetaddress, DisplayName:Street Address} } | Result : Success 
TID: [] [2025-04-10 21:04:32,381] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : website | Data : { External Claim URI:website, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/websiteurl, Claim Properties: {Description:URL of the End-User's Web page or blog. This Web page SHOULD contain information published by the End-User or an organization that the End-User is affiliated with., DisplayOrder:10, SupportedByDefault:true, MappedLocalClaim:http://wso2.org/claims/websiteurl, DisplayName:Website URL} } | Result : Success 
TID: [] [2025-04-10 21:04:32,475] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : phone_number | Data : { External Claim URI:phone_number, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/telephone, Claim Properties: {Description:End-User's preferred telephone number. For example, +1 (425) 555-1212 or +56 (2) 687 2400., +1 (604) 555-1234;ext=5678., MappedLocalClaim:http://wso2.org/claims/telephone, DisplayName:Phone Number} } | Result : Success 
TID: [] [2025-04-10 21:04:32,682] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : username | Data : { External Claim URI:username, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/username, Claim Properties: {Description:Username of the End-User, DisplayOrder:1, Required:true, SupportedByDefault:true, MappedLocalClaim:http://wso2.org/claims/username, DisplayName:Username} } | Result : Success 
TID: [] [2025-04-10 21:04:32,807] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : birthdate | Data : { External Claim URI:birthdate, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/dob, Claim Properties: {Description:End-User's birthday, represented as an ISO 8601:2004 [ISO8601-2004] YYYY-MM-DD format. The year MAY be 0000, indicating that it is omitted. To represent only the year, YYYY format is allowed., MappedLocalClaim:http://wso2.org/claims/dob, DisplayName:Birth Date} } | Result : Success 
TID: [] [2025-04-10 21:04:32,919] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : updated_at | Data : { External Claim URI:updated_at, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/modified, Claim Properties: {Description:Time the End-User's information was last updated. Its value is a JSON number representing the number of seconds from 1970-01-01T0:0:0Z as measured in UTC until the date/time., MappedLocalClaim:http://wso2.org/claims/modified, DisplayName:Updated At} } | Result : Success 
TID: [] [2025-04-10 21:04:38,093] []  INFO {AUDIT_LOG} - Initiator : 193161ee-c122-4030-81f7-984f5197038d | Action : Add-Application | Target : 4c078345-2c8b-4c84-aa66-41d562173bc5 | Data : { Changed-State : { Name:My Account, Description:This is the my account application., Application Version:v2.0.0, Resource ID:4c078345-2c8b-4c84-aa66-41d562173bc5, Access URL:https://localhost:9443/myaccount, Is Discoverable:false, Is SaaS:false, Inbound Authentication Configs:[{Auth Key:M********T, Auth Type:oauth2, Config Type:standardAPP, Inbound configuration:null}], Local and Outbound Configuration:{Auth Type:default}, Claim Configuration:{User Claim URI:null, Role Claim URI:null, Claim Mappings: [{Local Claim:http://wso2.org/claims/emailaddress, Remote Claim:http://wso2.org/claims/emailaddress}{, Local Claim:http://wso2.org/claims/displayName, Remote Claim:http://wso2.org/claims/displayName}{, Local Claim:http://wso2.org/claims/username, Remote Claim:http://wso2.org/claims/username}{, Local Claim:http://wso2.org/claims/url, Remote Claim:http://wso2.org/claims/url}]}, Service Provider Properties:[{isAPIBasedAuthenticationEnabled:false}, {isManagementApp:false}, {isSystemReservedApp:true}, {USE_DOMAIN_IN_ROLES:true}, {skipLogoutConsent:true}, {skipConsent:true}, {jwksURI:}, {templateId:}, {IsApplicationEnabled:true}, {useUserIdForDefaultSubject:true}, {isB2BSelfServiceApp:false}, {useExternalConsentPage:false}, {allowedAudienceForAssociatedRoles:application}, {templateVersion:}] } } | Result : Success 
TID: [] [2025-04-10 21:04:38,147] []  INFO {AUDIT_LOG} - Initiator : 193161ee-c122-4030-81f7-984f5197038d | Action : Add-Application | Target : 551ccf99-4a16-467f-8c68-387e6285dff1 | Data : { Changed-State : { Name:Console, Description:This is the console application., Application Version:v2.0.0, Resource ID:551ccf99-4a16-467f-8c68-387e6285dff1, Access URL:https://localhost:9443/console, Is Discoverable:false, Is SaaS:false, Inbound Authentication Configs:[{Auth Key:C*****E, Auth Type:oauth2, Config Type:standardAPP, Inbound configuration:null}], Local and Outbound Configuration:{Auth Type:default}, Claim Configuration:{User Claim URI:null, Role Claim URI:null, Claim Mappings: [{Local Claim:http://wso2.org/claims/emailaddress, Remote Claim:http://wso2.org/claims/emailaddress}{, Local Claim:http://wso2.org/claims/displayName, Remote Claim:http://wso2.org/claims/displayName}{, Local Claim:http://wso2.org/claims/username, Remote Claim:http://wso2.org/claims/username}{, Local Claim:http://wso2.org/claims/url, Remote Claim:http://wso2.org/claims/url}]}, Service Provider Properties:[{isAPIBasedAuthenticationEnabled:false}, {isManagementApp:false}, {isSystemReservedApp:true}, {USE_DOMAIN_IN_ROLES:true}, {skipLogoutConsent:true}, {skipConsent:true}, {jwksURI:}, {templateId:}, {IsApplicationEnabled:true}, {useUserIdForDefaultSubject:true}, {isB2BSelfServiceApp:false}, {useExternalConsentPage:false}, {allowedAudienceForAssociatedRoles:application}, {templateVersion:}, {shareWithAllChildren:true}] } } | Result : Success 
TID: [] [2025-04-10 21:05:01,317] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["1**********************************d"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [-1234] [2025-04-10 21:06:05,523] [1b24d159-f0e0-4059-b2fa-b7790d6509a4]  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-List Target=null Data={"ServiceProviderName":"Console","Claim Value":"a***n","Users":["a***n"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-10 21:06:06,082] [1b24d159-f0e0-4059-b2fa-b7790d6509a4]  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Values Target=a***n Data={"ServiceProviderName":"Console","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2025-04-10 21:06:06,159] [1b24d159-f0e0-4059-b2fa-b7790d6509a4]  INFO {AUDIT_LOG} - Initiator : a***n | Action : LoginStepSuccess | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "6639f59a-bed0-40c4-981d-d8e1fa119fd3","AuthenticatedUser" : "a***n","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "Console","RequestType" : "oidc","RelyingParty" : "CONSOLE","AuthenticatedIdP" : "LOCAL","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "PRIMARY" } | Result : Success 
TID: [-1234] [2025-04-10 21:06:06,163] [1b24d159-f0e0-4059-b2fa-b7790d6509a4]  INFO {AUDIT_LOG} - Initiator : a****************r | Action : Authenticate | Target : ApplicationAuthenticationFramework | Data : { Step: 1, IDP: LOCAL, Authenticator:BasicAuthenticator } | Result : Success 
TID: [-1234] [2025-04-10 21:06:06,286] [1b24d159-f0e0-4059-b2fa-b7790d6509a4]  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Values Target=a***n Data={"ServiceProviderName":"Console","Claims":{"http://wso2.org/claims/username":"a***n","http://wso2.org/claims/userid":"193161ee-c122-4030-81f7-984f5197038d","http://wso2.org/claims/roles":"I*****************************************************e","http://wso2.org/claims/groups":"a***n","http://wso2.org/claims/userprincipal":"a***n"}} Outcome=Success
TID: [-1234] [2025-04-10 21:06:07,410] [1b24d159-f0e0-4059-b2fa-b7790d6509a4]  INFO {AUDIT_LOG} - Initiator : 193161ee-c122-4030-81f7-984f5197038d | Action : StoreSession | Data : { {"traceId":"1b24d159-f0e0-4059-b2fa-b7790d6509a4","RememberMe":false,"sessionContextId":"cf176148fbda29bd88585e5c88b03f69a3ad5aead905947ec3c942344f749025","AuthenticatedUserTenantDomain":"carbon.super","AuthenticatedUser":"P***********n","LastAccessedTimestamp":1744319166435} } | Result : Success 
TID: [-1234] [2025-04-10 21:06:07,733] [1b24d159-f0e0-4059-b2fa-b7790d6509a4]  INFO {AUDIT_LOG} - Initiator : 1***********************************************r | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "6639f59a-bed0-40c4-981d-d8e1fa119fd3","AuthenticatedUser" : "1***********************************************r","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "Console","RequestType" : "oidc","RelyingParty" : "CONSOLE","AuthenticatedIdPs" : "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ3c28yIiwiZXhwIjoxNzQ0MzE5MTY5MTczLCJpYXQiOjE3NDQzMTkxNjYxNzMsImlkcHMiOlt7ImlkcCI6IkxPQ0FMIiwiYXV0aGVudGljYXRvciI6IkJhc2ljQXV0aGVudGljYXRvciJ9XX0.05NRbcD_NkQaj-T4rnlJ6Jj9Z76NUMVvgRfzatCyAVA","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "PRIMARY" } | Result : Success 
TID: [-1234] [2025-04-10 21:06:16,766] [8f382453-316f-492d-ab2b-080e28dbefdc]  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Values Target=a***n Data={"ServiceProviderName":"Console","Claims":{"http://wso2.org/claims/username":"a***n","http://wso2.org/claims/userid":"193161ee-c122-4030-81f7-984f5197038d","http://wso2.org/claims/roles":"I*****************************************************e","http://wso2.org/claims/groups":"a***n","http://wso2.org/claims/userprincipal":"a***n"}} Outcome=Success
TID: [-1234] [2025-04-10 21:06:16,785] [8f382453-316f-492d-ab2b-080e28dbefdc]  INFO {AUDIT_LOG} - Initiator : 193161ee-c122-4030-81f7-984f5197038d | Action : UpdateSession | Data : { {"traceId":"8f382453-316f-492d-ab2b-080e28dbefdc","RememberMe":false,"sessionContextId":"cf176148fbda29bd88585e5c88b03f69a3ad5aead905947ec3c942344f749025","AuthenticatedUserTenantDomain":"carbon.super","AuthenticatedUser":"P***********n","LastAccessedTimestamp":1744319176771} } | Result : Success 
TID: [-1234] [2025-04-10 21:06:16,792] [8f382453-316f-492d-ab2b-080e28dbefdc]  INFO {AUDIT_LOG} - Initiator : 1***********************************************r | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "fb10addc-893f-43c0-909d-337d040f2d35","AuthenticatedUser" : "1***********************************************r","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "Console","RequestType" : "oidc","RelyingParty" : "CONSOLE","AuthenticatedIdPs" : "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ3c28yIiwiZXhwIjoxNzQ0MzE5MTc5NzQ5LCJpYXQiOjE3NDQzMTkxNzY3NDksImlkcHMiOlt7ImlkcCI6IkxPQ0FMIiwiYXV0aGVudGljYXRvciI6IkJhc2ljQXV0aGVudGljYXRvciJ9XX0.itgN5YpYZ8T394FzoYwz2n9yH24AjKVjKeBNQFxIy_Y","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "PRIMARY" } | Result : Success 
TID: [-1234] [2025-04-10 21:06:24,235] [d9861f0f-cfb8-43d3-8369-5f0e9722a272]  INFO {AUDIT_LOG} - Initiator=193161ee-c122-4030-81f7-984f5197038d Action=Get-User-Claim-Values Target=a***n Data={"ServiceProviderName":"Console","Claims":{"http://wso2.org/claims/username":"a***n","http://wso2.org/claims/userid":"193161ee-c122-4030-81f7-984f5197038d","http://wso2.org/claims/roles":"I*****************************************************e","http://wso2.org/claims/groups":"a***n"}} Outcome=Success
TID: [-1234] [2025-04-10 21:08:00,827] [cdaab266-3fc3-46c4-8f8a-13dec7967fec]  INFO {AUDIT_LOG} - Initiator : 193161ee-c122-4030-81f7-984f5197038d | Action : Add-Application | Target : 404ad37a-efc7-4cae-b109-89caeb7f4e02 | Data : { Changed-State : { Name:MyReactApp, Description:null, Application Version:v2.0.0, Resource ID:404ad37a-efc7-4cae-b109-89caeb7f4e02, Access URL:null, Is Discoverable:false, Is SaaS:false, Inbound Authentication Configs:[{Auth Key:k**************************a, Auth Type:oauth2, Config Type:null, Inbound configuration:null}], Local and Outbound Configuration:{Auth Type:default}, Claim Configuration:{User Claim URI:null, Role Claim URI:null, Claim Mappings: [{Local Claim:http://wso2.org/claims/username, Remote Claim:http://wso2.org/claims/username}]}, Service Provider Properties:[{isAPIBasedAuthenticationEnabled:false}, {isManagementApp:false}, {USE_DOMAIN_IN_ROLES:true}, {skipLogoutConsent:true}, {skipConsent:true}, {jwksURI:}, {templateId:6a90e4b0-fbff-42d7-bfde-1efd98f07cd7}, {IsApplicationEnabled:true}, {useUserIdForDefaultSubject:true}, {isB2BSelfServiceApp:false}, {useExternalConsentPage:false}, {allowedAudienceForAssociatedRoles:application}, {templateVersion:}] } } | Result : Success 
TID: [-1234] [2025-04-10 21:08:05,094] [35867b64-0597-4057-baaf-234a4a0182ba]  INFO {AUDIT_LOG} - Initiator : 193161ee-c122-4030-81f7-984f5197038d | Action : Update-Application | Target : 404ad37a-efc7-4cae-b109-89caeb7f4e02 | Data : { Changed-State : { Name:MyReactApp, Description:null, Application Version:v2.0.0, Resource ID:404ad37a-efc7-4cae-b109-89caeb7f4e02, Access URL:null, Is Discoverable:false, Is SaaS:false, Inbound Authentication Configs:[{Auth Key:k**************************a, Auth Type:oauth2, Config Type:standardAPP, Inbound configuration:nullProperties:[{oauthConsumerSecret:P******************************************a}]}], Local and Outbound Configuration:{Auth Type:default}, Claim Configuration:{User Claim URI:null, Role Claim URI:null, Claim Mappings: [{Local Claim:http://wso2.org/claims/username, Remote Claim:http://wso2.org/claims/username}]}, Inbound Provisioning Configuration:{Provisioning Userstore:null, Is Dumb Mode:false}, Outbound Provisioning Configuration:{}, Service Provider Properties:[{isAPIBasedAuthenticationEnabled:false}, {isManagementApp:false}, {USE_DOMAIN_IN_ROLES:true}, {skipLogoutConsent:true}, {skipConsent:true}, {jwksURI:}, {appleAppId:null}, {templateId:6a90e4b0-fbff-42d7-bfde-1efd98f07cd7}, {IsApplicationEnabled:true}, {useUserIdForDefaultSubject:true}, {isB2BSelfServiceApp:false}, {androidPackageName:null}, {useExternalConsentPage:false}, {allowedAudienceForAssociatedRoles:application}, {IsAttestationEnabled:false}, {templateVersion:}, {shareWithAllChildren:true}] } } | Result : Success 
